account_id,customer_id,account_type,balance,velocity_index,opened_date,dormancy_score
ACC-0044,CUST-0048,Current,200598.44,0.8,2025-02-10,0.0886
ACC-0045,CUST-0021,NRI,26181.06,0.53,2025-04-07,0.0638
ACC-0046,CUST-0028,Current,31716.19,2.66,2024-06-11,0.1399
ACC-0047,CUST-0040,NRI,1000,1.02,2026-02-16,0.1689
ACC-0048,CUST-0024,Current,125842.23,0.17,2025-07-10,0.1414
ACC-0049,CUST-0037,Current,1218491.54,0.77,2025-12-12,0.1817
ACC-0050,CUST-0023,Fixed Deposit,1688116.77,1.41,2025-04-03,0.071
ACC-0051,CUST-0047,Fixed Deposit,38054.98,2.91,2024-05-11,0.1936
ACC-0052,CUST-0002,Current,22798.7,1.01,2026-04-21,0.3306
ACC-0053,CUST-0010,Savings,21209.91,1.05,2025-10-10,0.2808
ACC-0054,CUST-0016,Savings,11692.63,0.47,2025-05-13,0.1797
ACC-0055,CUST-0019,Fixed Deposit,579426.0,0.4,2024-09-16,0.3395
ACC-0056,CUST-0007,Savings,206240.83,0.74,2025-08-03,0.14
ACC-0057,CUST-0015,Current,2793.84,0.98,2025-10-26,0.0831
ACC-0058,CUST-0022,Current,62998.8,2.98,2026-06-05,0.0683
ACC-0059,CUST-0046,Savings,54404.25,2.59,2026-05-27,0.1962
ACC-0060,CUST-0015,Savings,3377.2,0.26,2026-02-12,0.3958
ACC-0061,CUST-0040,Savings,14601.86,2.36,2026-05-11,0.0555
ACC-0062,CUST-0044,Current,31442.88,1.08,2025-05-10,0.3829
ACC-0063,CUST-0038,Savings,55217.84,1.29,2025-11-29,0.0535
ACC-0064,CUST-0013,Current,186554.22,2.62,2026-02-27,0.2129
ACC-0065,CUST-0010,Savings,1122.8,2.8,2025-04-08,0.204
ACC-0066,CUST-0023,Current,6956.5,1.07,2025-05-10,0.0427
ACC-0067,CUST-0025,NRI,2307.53,2.97,2025-11-21,0.4096
ACC-0068,CUST-0016,Savings,2469.02,0.81,2025-03-19,0.0659
ACC-0069,CUST-0023,Savings,1702.76,0.71,2025-10-16,0.3066
ACC-0070,CUST-0026,NRI,4433.76,1.47,2025-08-14,0.306
ACC-0071,CUST-0006,Savings,28206.29,0.61,2025-12-04,0.118
ACC-0072,CUST-0042,Savings,19215.11,0.65,2025-11-05,0.1436
ACC-0073,CUST-0016,Savings,126954.79,2.28,2025-10-21,0.1208
ACC-0074,CUST-0039,NRI,43475.79,2.16,2025-03-27,0.0223
ACC-0075,CUST-0043,Savings,30319.53,2.84,2024-11-04,0.2146
ACC-0076,CUST-0025,Savings,2166.87,2.48,2025-11-24,0.0461
ACC-0077,CUST-0050,Savings,56615.79,0.65,2026-01-31,0.1007
ACC-0078,CUST-0014,Current,17088.02,1.72,2026-06-11,0.2662
ACC-0079,CUST-0034,Savings,1330.64,0.65,2026-04-13,0.1011
ACC-0080,CUST-0022,Savings,35541.23,1.87,2026-06-06,0.0597
